Fare for Bike,[Waiting Time of Bike],Fare for Auto,[Waiting Time of Auto],Fare for Car,[Waiting Time of Car],Platform,Hour,Minute,DecimalHour,Day,Weekend,Rushhour,DistanceKm,Duration,TrafficLevel,SurgeValue,PickupTemperature,PickupWindSpeed,PickupWeatherCode,PickupHumidity,DropTemperature,DropWindSpeed,DropWeatherCode,DropHumidity,PickupZone,DropZone,BikeWait,AutoWait,CarWait,priceKmBike,priceKmAuto,priceKmCar
75,2,103,2,158,3,RAPIDO,15,8,15.13,4,0,0,8.833,18.1,NORMAL,0,33.7,13.3,0,34,33.6,12.6,0,35,RESIDENTIAL,HEALTHCARE,2,2,3,8.49,11.66,17.89
121,5,224,5,227,5,RAPIDO,15,35,15.58,4,0,0,14.946,29.25,NORMAL,0,33.5,12.6,0,34,33.6,12.6,0,34,RESIDENTIAL,HEALTHCARE,5,5,5,8.1,14.99,15.19
209,4,352,4,505,4,RAPIDO,15,48,15.8,4,0,0,28.015,46.9,NORMAL,0,33.3,13.1,0,34,33.5,12.6,0,34,TRANSIT_HUB,HEALTHCARE,4,4,4,7.46,12.56,18.03
41,3,55,4,106,3,RAPIDO,16,30,16.5,4,0,0,3.896,11.18333333,HEAVY,0,33.2,12.6,0,33,33.1,12.6,0,33,RESIDENTIAL,RESIDENTIAL,3,4,3,10.52,14.12,27.21
237,3,396,7,510,4,UBER,16,36,16.6,4,0,0,35.381,52.11666667,LOW,0,33.2,12.6,0,33,33.1,11.9,0,34,RESIDENTIAL,TRANSIT_HUB,3,7,4,6.7,11.19,14.41
335,3,436,4,564,3,RAPIDO,16,39,16.65,4,0,0,38.596,61.68333333,NORMAL,0,33.1,11.9,0,34,32.4,11.9,0,38,TRANSIT_HUB,RESIDENTIAL,3,4,3,8.68,11.3,14.61
96.68,2,243.06,4,176.05,4,UBER,16,50,16.83,4,0,0,15.385,28.66666667,NORMAL,0,32.9,12.1,0,34,33,12.1,0,34,EDUCATION,RESIDENTIAL,2,4,4,6.28,15.8,11.44
194,3,270,3,333,3,RAPIDO,17,33,17.55,4,0,1,28.737,43.26666667,LOW,0,31.9,8.4,0,38,31.8,9.2,0,37,RESIDENTIAL,RESIDENTIAL,3,3,3,6.75,9.4,11.59
125.86,3,275.78,1,312.55,1,UBER,17,35,17.58,4,0,1,20.912,38.31666667,NORMAL,0,31.9,8.4,0,38,31.8,9.2,0,37,HEALTHCARE,EDUCATION,3,1,1,6.02,13.19,14.95
68,3,142,3,167,3,RAPIDO,17,44,17.73,4,0,1,11.622,29.9,MODERATE,0,31,8.1,0,39,31.6,9,0,38,RESIDENTIAL,RESIDENTIAL,3,3,3,5.85,12.22,14.37
85,1,127,1,187,1,RAPIDO,17,49,17.82,4,0,1,15.749,40.11666667,MODERATE,0,29.7,6.6,0,47,30,6.6,0,47,RESIDENTIAL,RESIDENTIAL,1,1,1,5.4,8.06,11.87
42,4,65,4,119,4,RAPIDO,17,58,17.97,4,0,1,6.06,22.06666667,HEAVY,0,31.1,8.1,0,40,31.1,8.1,0,40,TRANSIT_HUB,TRANSIT_HUB,4,4,4,6.93,10.73,19.64
117,5,179,5,237,5,RAPIDO,18,0,18,4,0,1,14.287,32.13333333,MODERATE,0,29.9,6.7,0,44,30.5,7.2,0,42,RESIDENTIAL,RESIDENTIAL,5,5,5,8.19,12.53,16.59
71,4,130,4,164,4,RAPIDO,18,3,18.05,4,0,1,10.361,22.25,MODERATE,0,30.6,7.2,0,42,30.5,7.2,0,42,RESIDENTIAL,TRANSIT_HUB,4,4,4,6.85,12.55,15.83
353,5,,,605,5,RAPIDO,18,28,18.47,4,0,1,42.152,66.01666667,NORMAL,0,28.5,5.8,0,53,30.4,6.6,0,44,TRANSIT_HUB,HEALTHCARE,5,0,5,8.37,0,14.35
56,3,73,3,156,3,RAPIDO,18,33,18.55,4,0,1,6.314,13.11666667,MODERATE,0,29.6,5.5,0,45,29.6,5.5,0,45,RESIDENTIAL,RESIDENTIAL,3,3,3,8.87,11.56,24.71
81,5,136,4,172,4,RAPIDO,18,37,18.62,4,0,1,10.694,18.46666667,NORMAL,0,29.6,5.5,0,45,27.6,5.4,0,54,RESIDENTIAL,RESIDENTIAL,5,4,4,7.57,12.72,16.08
518,3,,,943,4,UBER,18,40,18.67,4,0,1,55.38,82.11666667,LOW,0,29.6,5.5,0,45,27.6,5.4,0,55,RESIDENTIAL,TRANSIT_HUB,3,0,4,9.35,0,17.03
130,3,228,6,324,7,UBER,18,43,18.72,4,0,1,24.269,40.53333333,NORMAL,0,28.8,5.8,0,50,28.9,5.8,0,51,RESIDENTIAL,RESIDENTIAL,3,6,7,5.36,9.39,13.35
25,1,60,1,103,1,RAPIDO,19,30,19.5,4,0,1,2.648,6.15,MODERATE,0,27.6,5.1,0,53,27.6,5.1,0,53,EDUCATION,TRANSIT_HUB,1,1,1,9.44,22.66,38.9
105.42,3,216.64,2,216.47,1,UBER,20,12,20.2,4,0,1,16.24,31,NORMAL,0,26.8,5.1,0,55,26.8,5.1,0,55,RESIDENTIAL,RESIDENTIAL,3,2,1,6.49,13.34,13.33
120,5,290,5,253,5,RAPIDO,22,31,22.52,4,0,0,15.251,31.21666667,NORMAL,0,24.4,6.1,0,63,24.5,6.1,0,63,TRANSIT_HUB,HEALTHCARE,5,5,5,7.87,19.02,16.59
218,1,440,2,340,1,UBER,23,24,23.4,4,0,0,26.619,30.66666667,LOW,0,23.8,5.2,0,66,24.5,5.1,0,65,RESIDENTIAL,RESIDENTIAL,1,2,1,8.19,16.53,12.77
208,2,427,2,308,2,UBER,23,27,23.45,4,0,0,26.619,30.66666667,LOW,0,23.8,5.2,0,66,24.5,5.1,0,65,RESIDENTIAL,RESIDENTIAL,2,2,2,7.81,16.04,11.57
345,3,362,2,350,3,RAPIDO,23,30,23.5,4,0,0,26.619,30.66666667,LOW,0,23.7,4.9,0,67,24.5,4.7,0,65,RESIDENTIAL,RESIDENTIAL,3,2,3,12.96,13.6,13.15
208,3,427,2,308,3,UBER,23,33,23.55,4,0,0,26.619,30.66666667,LOW,0,23.7,4.9,0,67,24.5,4.7,0,65,RESIDENTIAL,RESIDENTIAL,3,2,3,7.81,16.04,11.57
250,2,427,2,308,1,UBER,0,4,0.07,5,0,0,26.619,30.66666667,LOW,0,23.4,5,0,68,24.1,4.5,0,66,RESIDENTIAL,RESIDENTIAL,2,2,1,9.39,16.04,11.57
121,2,200,2,229,2,RAPIDO,7,40,7.67,5,0,1,15.251,31.21666667,NORMAL,0,19.3,2.5,0,85,19.4,2.5,0,85,TRANSIT_HUB,HEALTHCARE,2,2,2,7.93,13.11,15.02
